,Latin name,Polish name,Category,Status
341,Acrocephalus agricola,trzcinniczek kaspijski,A,Z
342,Acrocephalus arundinaceus,trzciniak,A,L
343,Delichon urbicum,oknówka,A,L
344,Cecropis daurica,jaskółka rudawa,A,Z
345,Hirundo rustica,dymówka,A,L
346,Riparia riparia,brzegówka,A,L
347,Phylloscopus bonelli,świstunka górska,A,(l) Z
348,Phylloscopus sibilatrix,świstunka leśna,A,L
349,Phylloscopus inornatus,świstunka żółtawa,A,P
350,Phylloscopus humei,świstunka ałtajska,A,Z
351,Phylloscopus proregulus,świstunka złotawa,A,Z
352,Phylloscopus fuscatus,świstunka brunatna,A,Z
353,Phylloscopus trochilus,piecuszek,A,L
354,Phylloscopus ibericus,świstunka iberyjska,A,l z
355,Phylloscopus collybita,pierwiosnek,A,L
356,Phylloscopus schwarzi,świstunka grubodzioba,A,Z
357,Phylloscopus trochiloides,wójcik,A,l P
358,Phylloscopus borealis,świstunka północna,A,z
359,Aegithalos caudatus,raniuszek,A,L
360,Sylvia atricapilla,kapturka,A,L
361,Sylvia borin,gajówka,A,L
362,Curruca nisoria,jarzębatka,A,L
363,Curruca curruca,piegża,A,L
364,Curruca cantillans,pokrzewka wąsata,A,Z
365,Curruca iberiae,pokrzewka iberyjska,A,z
366,Curruca melanocephala,pokrzewka aksamitna,A,z
367,Curruca communis,cierniówka,A,L
368,Regulus regulus,mysikrólik,A,L
369,Regulus ignicapilla,zniczek,A,L
370,Bombycilla garrulus,jemiołuszka,A,P
371,Sitta europaea,kowalik,A,L
372,Certhia familiaris,pełzacz leśny,A,L
373,Certhia brachydactyla,pełzacz ogrodowy,A,L
374,Tichodroma muraria,pomurnik,A,l
375,Troglodytes troglodytes,strzyżyk,A,L
376,Sturnus vulgaris,szpak,A,L
377,Pastor roseus,pasterz,A,Z
378,Cinclus cinclus,pluszcz,A,L
379,Muscicapa striata,muchołówka szara,A,L
380,Erithacus rubecula,rudzik,A,L
381,Larvivora sibilans,słowik syberyjski,A,z
382,Luscinia megarhynchos,słowik rdzawy,A,L
383,Luscinia luscinia,słowik szary,A,L
384,Luscinia svecica,podróżniczek,A,L
385,Tarsiger cyanurus,modraczek,A,Z
386,Ficedula parva,muchołówka mała,A,L
387,Ficedula hypoleuca,muchołówka żałobna,A,L
388,Ficedula albicollis,muchołówka białoszyja,A,L
389,Phoenicurus phoenicurus,pleszka,A,L
390,Phoenicurus ochruros,kopciuszek,A,L
391,Monticola saxatilis,nagórnik,A,(l) Z
